DVA,RIR,-1
DVC,AIB,-1
DVC,AVK,-1
FLP,AIB,-1
FLP,AVD,-1
FLP,FLP,-1
IL1D,BWM04D,-1
IL1D,RIP,-1
IL1L/R,BWM02D,-1
IL1L/R,BWM04D,-1
IL1L/R,BWM04V,-1
IL1L/R,RMDV,-1
IL2D,IL1D,-1
IL2D,RIH,-1
IL2D,RIP,-1
IL2D,RMED,-1
IL2D,RMEL/R,-1
IL2D,RMEV,-1
IL2D,URAD,-1
IL2L/R,ADE,-1
IL2L/R,OLL,-1
IL2L/R,RMDL/R,-1
IL2L/R,URAV,-1
IL2V,IL1V,-1
IL2V,RIA,-1
IL2V,RIH,-1
IL2V,RIP,-1
IL2V,RMED,-1
IL2V,RMEL/R,-1
IL2V,RMEV,-1
IL2V,URAV,-1
IL2V,URX,-1
OLL,RMDL/R,-1
OLQD,IL2L/R,-1
OLQV,IL2L/R,-1
PVC,RID,-1
PVQ,AIM,-1
PVQ,ASJ,-1
PVR,IL1D,-1
PVT,AIB,-1
PVT,AVL,-1
PVT,URAV,-1
RIA,CEPV,-1
RIB,DVA,-1
RIC,AIB,-1
RIC,AVA,-1
RIC,CEPV,-1
RIC,RIM,-1
RIC,SMBD,-1
RIF,ALM,-1
RIG,AIB,-1
RIG,OLQV,-1
RIG,RMG,-1
RIH,AUA,-1
RIH,CEPD,-1
RIH,IL2L/R,-1
RIH,OLQD,-1
RIM,AVA,-1
RIM,BWM06D,-1
RIM,BWM06V,-1
RIM,SIAD,-1
RIR,AUA,-1
RIR,AVE,-1
RIR,DVA,-1
RIR,RIG,-1
RIS,SMDD,-1
RIV,BWM06V,-1
RIV,BWM07V,-1
RIV,BWM08V,-1
RIV,RMDD,-1
RIV,RMDV,-1
RIV,SIAV,-1
RMDD,RMDD,-1
RMDV,BWM06V,-1
RMG,ASH,-1
RMG,BWM04V,-1
RMG,RMH,-1
RMH,RMG,-1
SMBD,ADA,-1
SMBV,BWM02V,-1
SMBV,BWM06V,-1
SMBV,RMEV,-1
SMDD,BWM05D,-1
SMDD,RIM,-1
SMDD,RMDL/R,-1
SMDV,BWM05V,-1
SMDV,CEPV,-1
URAV,IL1L/R,-1
URB,CEPD,-1
URB,CEPV,-1
URB,IL1L/R,-1
URB,RMH,-1
URB,SIAV,-1
URX,RIC,-1
URYD,BWM01D,-1
URYD,BWM03D,-1
URYD,IL1D,-1
