pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_tem,adult_sem,dauer_sem_1,dauer_sem_2,dauer_daf2
AFDR,AWCL,0,0,1,0,0,0,0,0,0,0,0
AFDR,BAGL,0,0,0,1,0,0,0,2,0,0,0
AIAL,ADAL,0,1,3,0,0,2,2,3,4,5,4
AIAL,ADFL,0,0,0,0,1,0,0,0,0,0,0
AIAL,ADLL,0,0,0,0,0,1,1,4,1,2,2
AIAL,AIBL,3,6,8,9,11,9,14,17,10,9,10
AIAL,AIBR,0,0,0,0,0,0,0,0,1,0,0
AIAL,AIML,0,0,0,0,0,0,0,0,0,0,1
AIAL,AINR,0,0,0,0,0,1,0,0,0,0,2
AIAL,AIYL,0,0,0,0,1,0,0,0,0,0,0
AIAL,AIZL,0,0,0,0,3,1,0,0,3,1,1
AIAL,ASEL,0,0,0,0,0,0,1,0,2,0,2
AIAL,ASER,1,0,0,0,0,0,1,1,0,0,0
AIAL,ASGL,0,0,1,0,1,1,1,1,0,0,1
AIAL,ASHL,0,0,1,2,2,0,0,0,1,0,2
AIAL,ASIL,0,0,0,0,0,0,2,0,0,0,0
AIAL,ASKL,2,4,3,3,1,2,2,2,1,0,1
AIAL,AVAL,0,0,0,0,0,0,0,0,0,0,1
AIAL,AVHR,0,0,0,0,0,0,0,0,0,0,1
AIAL,AVJL,0,0,0,0,0,0,0,0,0,0,1
AIAL,AWAL,0,0,0,1,0,0,1,0,1,0,1
AIAL,AWBL,1,0,0,0,0,0,0,0,0,0,0
AIAL,AWCL,0,1,3,2,3,1,7,1,3,5,1
AIAL,AWCR,1,0,2,3,3,2,0,7,0,1,1
AIAL,BDUL,0,0,0,0,0,0,0,0,0,1,0
AIAL,PVQL,0,1,1,0,0,0,0,0,0,0,1
AIAL,RIFL,1,2,2,1,2,1,0,1,1,2,0
AIAL,RIML,0,0,0,0,0,0,0,0,1,0,0
AIAL,RIPL,0,0,0,0,0,0,0,0,0,1,0
AIAL,RIR,0,0,0,0,0,0,0,0,1,1,1
AIAR,ADAR,0,0,1,0,1,3,2,2,2,6,3
AIAR,ADFR,0,1,0,0,0,0,0,0,0,0,0
AIAR,ADLL,0,0,0,0,0,0,0,0,0,1,0
AIAR,ADLR,0,0,0,1,0,0,1,3,1,0,2
AIAR,AFDR,0,0,0,0,0,0,0,0,0,0,2
AIAR,AIAL,0,0,0,0,0,0,0,0,1,0,0
AIAR,AIBR,2,4,6,8,10,12,11,18,11,13,11
AIAR,AIMR,0,0,0,0,0,0,0,0,1,1,1
