pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_sem,dauer_sem_1,dauer_sem_2,dauer_FIB
BWM-VL05,IL1VL,0,0,0,0,0,0,0,0,5000,0
RID,RMFL,0,0,0,0,0,2703,0,0,244600,27440
ALMR,SIBVL,70920,186368,2400,38640,0,991795,260400,404200,0,472800
RIVR,RMHR,0,0,0,362160,1112040,75018,153840,48000,7600,10960
AVHL,RIGR,1440,0,0,0,32880,170649,150720,0,77400,47520
RIS,URYDL,3840,82944,53160,44760,105000,224716,312960,468400,171800,486160
AIMR,AVDL,0,0,0,0,0,0,7200,258200,499100,252080
ALMR,OLQVR,0,4608,0,0,0,0,0,0,0,0
AIBL,PVQR,600,0,0,0,0,0,0,0,0,0
BWM-VL06,RMDL,94920,92416,65160,138600,21480,92252,387120,394200,108800,32680
CEPVR,SIBVR,41520,37120,0,1560,12360,0,0,0,87800,0
AIYR,ASER,1103040,1720832,1196760,2189880,3281280,4020910,6569520,3018600,3694800,3244520
AIZL,AVKR,31920,214784,720,0,1200,85155,276480,109200,170400,41360
RIS,URXL,7560,0,98160,0,0,0,0,0,0,0
AVBR,FLPL,0,0,0,119160,720,595752,234000,554500,343600,290800
IL1L,RMDL,165360,231680,447240,272760,507480,908328,1306320,1175200,1030800,1473720
IL2DR,PVWL,0,0,0,0,0,0,63840,161700,130100,92560
ALNL,RICR,0,0,0,0,99600,0,0,101400,39400,0
IL2VR,RIPR,626040,1115648,753960,987960,1940520,2690181,3494400,1188900,1561100,1455920
BDUL,RMDDR,0,0,0,0,0,0,5760,0,0,0
AQR,URAVR,0,0,0,11880,26640,0,0,35400,0,0
BWM-DR02,RMER,0,4608,26640,5520,0,40550,32160,0,0,13120
RMDR,SAAVL,0,28160,27480,0,101880,15544,0,4400,29200,0
ASHR,SIBVL,0,34048,0,27600,720,0,215760,0,0,0
PVPL,SAADL,0,0,0,0,144960,0,289200,0,0,0
AVDL,PVWR,0,0,0,0,0,0,0,0,0,62960
ASER,OLQDL,0,18432,6120,4200,66000,34805,29280,0,54200,0
BAGR,RMER,129240,0,42480,0,0,0,0,0,0,0
ALML,PVR,326520,1086208,765600,450120,1733880,1238476,1380960,551800,910500,788320
ASHR,OLQVR,0,0,0,12720,0,0,0,0,0,0
AIBL,AVBL,257760,645632,596760,749520,909000,1665945,3077520,2223800,1802200,1650800
AIMR,AVEL,0,0,0,0,85440,0,262320,0,192200,0
ADAL,SAAVL,88080,26624,19680,50760,9360,0,676800,47800,48600,56520
AVAR,CEPDR,0,6400,7440,2040,270000,32440,0,0,5800,60320
SAADL,SAAVR,722760,966656,492480,783600,716760,946176,861840,761500,619800,435240
BWM-VL05,BWM-VR01,0,0,0,0,70800,0,0,22600,28700,0
RIGR,RMED,74640,412928,206160,370920,887160,196669,730800,245000,125600,553880
AIAR,ASGR,924120,1439488,796560,1087800,3414120,4590643,6181920,1548800,1310800,1342080
ALNR,DVC,0,0,0,0,0,0,0,14400,0,0
ASER,IL2R,0,0,0,30720,0,14868,53520,0,0,4040
ASIR,SAAVL,0,29440,9360,0,27600,50350,0,41800,26000,98840
AVBL,SDQL,0,0,0,0,242160,0,629040,0,233200,120
AIML,PVCL,0,0,0,0,0,0,5280,0,0,0
AVFL,OLLL,0,0,0,0,0,0,144480,85800,81700,168480
BWM-VL05,SMBVR,0,9472,0,0,0,0,0,0,23400,36960
BWM-VR02,RMFL,0,0,0,0,0,0,448800,843400,265400,507400
PVWR,SIAVR,0,0,0,0,0,0,0,0,0,105800
SDQR,SIAVL,0,0,0,0,0,1689,24720,261200,699200,56960
AIBR,AWBL,46200,57600,59520,0,0,139560,213120,183200,161800,233360
AVJL,PVR,524760,117760,167400,155160,888360,431523,22560,995500,29700,598400
AVKR,RID,8880,287488,74760,0,148320,0,0,0,16000,0
AVJL,SMDVL,0,30208,1680,23880,188400,125706,335040,0,0,0
DVA,RIAL,0,4096,0,0,0,0,735600,0,134600,0
AWCL,RIH,0,0,0,0,0,0,0,0,121600,0
BWM-VL06,RMDR,116040,2304,75360,56760,23160,490659,686160,103000,273200,161760
PVQR,URYDR,0,0,3120,1920,1200,2027,0,0,6400,760
SIBVR,SMBVR,14160,59136,175920,290160,257880,551147,912720,0,46000,202160
ADEL,ALA,0,0,0,26760,0,41902,0,0,0,34800
AVAR,BAGR,22800,70144,15600,45720,132720,267632,340080,178000,295300,155120
BWM-DR02,BWM-DR08,0,17152,0,8640,0,204779,960,0,38200,15120
AVEL,SIAVL,14400,0,0,36720,3600,0,38640,31600,0,0
RIVR,SIADR,0,4096,0,0,0,0,0,0,30500,0
ADFR,RIBL,4320,0,8520,0,0,0,0,0,0,0
BWM-VL02,RMER,307920,873984,1198680,334680,1685520,1582141,1098960,2845000,2568900,2437200
PLNL,RMDR,0,0,0,0,0,0,136800,202500,269400,76920
RMDR,SMDDL,138840,459264,180240,241680,411000,564664,638640,149400,509900,402240
BDUL,URBL,5760,0,29160,18000,0,11489,0,0,0,0
PVR,SMDVL,50640,1280,12720,187680,0,93603,0,0,0,0
AVHL,AVKR,0,0,0,0,0,496742,6240,21800,0,10400
CEPVL,RMFR,0,0,0,0,0,0,580560,438000,428400,471600
IL2DR,RMED,118680,395776,178440,207360,413520,358533,720000,604500,478700,437520
ASHL,AVDL,106920,88832,65880,33240,200160,309872,258960,336600,625400,185440
AVHR,PVCL,153480,671232,375840,144960,1007760,762347,2455200,999000,1622600,1532160
ADAL,SMDDL,22080,47616,77880,65280,0,0,93600,0,172000,14840
DVC,RMFR,0,0,0,0,145080,2850017,3315600,1204800,440900,511200
CEPVL,RIGL,0,20736,0,0,0,0,0,0,0,37760
BAGL,RIPL,0,0,0,14400,0,0,0,0,0,0
AIZL,RIFL,0,0,0,0,13200,0,44160,119900,0,352200
ASIL,CEPDL,12000,37888,0,0,0,0,0,0,0,0
ADEL,PVT,117480,203264,6720,112800,0,307169,84000,0,882100,212000
BWM-VL01,RMER,5640,76800,31440,77760,0,0,0,5000,0,36880
BDUR,CEPDR,17880,0,8760,28800,15960,117596,76080,114000,49300,24040
DVA,SIAVR,771480,1340416,1387800,1004520,2963400,2045767,3773280,2588700,3282200,3029360
BWM-DR03,RICR,0,24576,0,0,40560,72652,0,0,0,0
IL1VR,RIGR,33600,34048,60240,9480,0,62853,103680,0,0,91200
SIBVR,SMDDR,5160,0,0,45360,0,164567,0,0,245800,0
ADAL,AWAL,17280,7168,6480,3840,4320,0,192240,137700,79800,13920
AIBL,SIADL,0,512,0,0,0,0,0,0,0,0
AVER,AVJR,0,0,2280,35760,181320,0,21840,0,0,0
OLQVR,RMDVL,442440,706048,685800,480480,1477320,2291773,2748480,2065400,2196600,1343200
PVWL,RIMR,0,0,0,0,0,0,0,203200,307900,492720
ALNL,AVJL,0,0,0,65760,17880,0,4800,0,0,0
PVWL,SMBVR,0,0,0,0,0,0,960,0,0,83680
AIML,SMBDR,0,0,7320,15720,0,0,0,161400,0,0
AVFR,RIPL,0,0,0,0,0,0,0,1398000,3249200,1498800
PVCR,RIR,9960,0,0,600,73080,29061,0,482400,0,640
BWM-VL03,SMBVL,102840,174592,51120,114240,84000,307169,636960,520400,440300,621120
AINL,URBR,0,5888,0,0,0,5406,0,0,132700,65240
AVHL,URAVR,0,0,0,0,0,0,0,0,28900,0
AIBL,DVA,135840,151040,69000,278160,539160,553175,768000,663600,514400,1335600
PVWL,RMGL,0,0,0,0,0,0,1065600,615300,295100,801800
AIZR,AWCL,22440,146176,215280,191160,596520,828241,652320,1206200,865600,812520
ALA,SAADR,0,0,0,3960,0,0,0,0,0,0
ASHL,AVEL,27960,9984,30720,0,145560,84142,99840,65300,94400,18320
RIPL,SMBVL,0,0,0,0,0,0,0,0,64500,0
AIBR,PVCL,0,13056,0,0,0,0,0,0,0,0
AVEL,PVWR,0,0,0,0,0,0,0,0,0,28880
IL2DR,SAADL,0,0,0,0,9840,0,0,0,0,0
RMED,SMBDL,87720,109312,159120,178200,64560,397056,329040,964900,794600,707120
CEPVR,OLLR,434880,657408,262800,648240,909360,1404395,3095760,1546800,1925200,1249200
AVKR,SIADR,185520,414976,262200,194760,1183800,548782,351600,761200,963200,1085760
DVA,URYVL,19080,64000,46560,84480,39000,23316,104400,0,0,293760
ADLR,AVBR,0,4864,0,0,188040,94955,12000,0,0,160
ALML,ASKL,0,0,27000,0,0,0,0,0,0,0
CEPVL,RMED,0,0,0,0,0,5068,0,0,0,0
BWM-VL05,RMDDL,37320,0,101880,88560,252240,190586,24720,59400,99200,27360
AVHR,PLNL,0,0,0,0,0,0,0,0,0,2000
PVT,SIAVR,0,0,0,0,242640,0,2400,0,0,0
ASGL,AVBL,5640,0,0,7920,0,105768,0,0,158800,0
BWM-DR02,SIBVR,0,0,0,0,0,13516,0,0,0,0
PLNR,RMGR,0,0,0,0,0,0,1811520,2549400,1645700,2454720
ADAL,PVPL,246600,354560,91680,250560,237960,666040,535200,1031200,37200,443280
PVWL,SMDDR,0,0,0,0,0,0,0,174600,26000,0
AVJR,CEPDR,7440,35328,13080,11760,88200,66570,28800,32800,46400,72960
DVC,RMED,0,341760,232680,206160,484680,257832,666960,291200,260200,360320
AIMR,AWCR,11160,3328,0,11400,0,31764,31440,250300,76900,363680
AINR,OLQDR,26880,70912,16680,21120,86040,90562,76080,289400,67800,137920
BWM-VR04,OLQVR,8640,0,0,0,2400,0,5040,0,14700,14160
BWM-VR07,IL1VR,0,0,0,0,17160,0,0,0,0,0
AVAL,RIBL,124800,290048,69360,226440,525480,401448,1296240,688500,212000,351440
AIYR,PVCL,66240,43520,7440,0,0,8785,50880,0,135400,0
ALNR,AVKL,0,0,0,0,0,163891,148560,169400,329000,181840
DVA,RIBR,5880,93952,10200,80520,282840,224716,112320,791400,112100,241320
BWM-VR01,RMEV,73800,58112,44880,23400,2160,32102,122400,210300,49800,77400
RIML,SAAVL,572040,1414656,833040,1517160,1800480,2057594,4951680,2973200,1538400,2782880
ALNR,RMHL,0,0,0,0,256560,744775,1170240,1664700,1423800,1837200
PVCL,PVT,0,0,0,0,88320,0,0,0,0,0
RIAL,RIVL,323760,503040,313440,437520,1047000,1232056,1412640,1084800,1326800,1388480
PVT,URYVL,212760,186624,138120,189600,282720,226068,240240,275400,365500,256200
AVJL,BDUL,307560,531200,286560,180360,86160,180787,477840,154600,276800,163120
IL2R,PVQR,0,0,15000,75960,2640,25006,6240,0,0,0
BWM-DR04,BWM-DR08,21480,28160,239400,151080,221160,244992,851520,1463200,431100,15360
IL2L,RIFL,0,0,0,0,0,0,0,0,0,185920
AIBL,ASJL,0,0,9960,0,0,0,15600,0,0,0
AVAR,FLPL,278280,86016,237600,0,536400,769105,3108720,1859900,790600,2101760
ADFR,SIBVR,0,112128,41400,172320,0,350423,729840,135800,240400,179440
AVHR,AVM,0,0,0,0,0,123340,658560,79400,777200,114080
PVQR,RIFR,795720,838400,597840,249120,1402920,1078302,374400,109300,548300,481360
RIS,SIAVR,0,195840,44400,130320,135360,71639,343680,0,112700,69760
ALMR,AVJR,39720,150272,102960,17280,12840,301424,354000,367000,505600,394000
