,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG
RMH,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,7.0,,,,,5.333333333333333,15.0,2.6666666666666665,,,3.0,,,,,12.666666666666666,,,,,,,,,,,,2.6666666666666665,,,,,,,,9.333333333333334,7.0,,,,,,,
SIAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333333333335,,2.0,,,,,,,,
SIAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
SIBD,,,,,,,,,,,,,,,,,,,,,,,,,,7.333333333333333,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,,,,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
SIBV,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,,,,,3.3333333333333335,,,,1.0,,,,,,,,,,,,,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333333333
SMBD,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.6666666666666667,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,,,,,,,,
SMBV,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,18.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,,,,,1.3333333333333333,,,,,,,1.0
SMDD,,,,,,,,,,,,,,,,,,,,,,,,11.333333333333334,,,,,8.666666666666666,,,,3.6666666666666665,,,,6.333333333333333,,,,,,,,,,,,,,48.333333333333336,2.3333333333333335,,,,16.666666666666668,,,4.333333333333333,,,6.666666666666667,,,,5.666666666666667,,1.6666666666666667,,,,,,,,,,10.333333333333334,,2.0,,,,,,,4.0,,,,,,,1.6666666666666667,,,
SMDV,,,,,1.6666666666666667,,,,,,,,,,,,,,,,,,,14.666666666666666,,,,5.0,,,,,,2.6666666666666665,,,6.333333333333333,,,,,,,,,,,,,,52.666666666666664,4.666666666666667,,,,15.333333333333334,,,,,3.0,2.0,,,,,,5.0,,,,,,,,,10.666666666666666,,,,,,,,,,3.3333333333333335,,,,,,,2.0,,3.3333333333333335,
URAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666666666666665,,,,2.3333333333333335,,,,,1.6666666666666667,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,
URAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333333333335,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADE,,,,,,,,,,,,,,,,,,,,5.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,
AIM,15.0,1.3333333333333333,,,,,,,,,2.6666666666666665,10.666666666666666,,,,1.6666666666666667,,,,,,,,,,,,,,,5.333333333333333,,,,,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
ALA,,,,,,,,,,,,8.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,,,,,,,2.0,,,,
AVF,1.3333333333333333,,,,,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333333333335,,,,,,,2.3333333333333335,4.333333333333333,,,,
AVH,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667,,2.3333333333333335,,,,,,,,,,,
AVJ,9.333333333333334,2.0,,2.6666666666666665,,,,,17.0,,,4.666666666666667,,2.3333333333333335,6.666666666666667,,,,,,,,,,,,,,,,,,,,5.333333333333333,,,,,,,,,,5.0,,1.6666666666666667,,7.0,,,,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.6666666666666667,10.0,,,,,,,3.6666666666666665,,,,,
