pre,post,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,edge_class
ADL,AVD,0,2,4,5,14,9,14,26,10,10,4,Feed-forward
ADL,AVE,0,0,0,0,0,1,2,1,0,0,0,Feed-forward
ADL,AVH,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
ADL,AVJ,0,2,2,2,8,5,8,5,2,2,2,Feed-forward
ADL,AWA,0,0,0,0,0,0,0,2,1,0,0,Recurrent
ADL,AWB,0,0,0,0,0,0,1,2,0,0,0,Recurrent
ADL,AWC,3,1,5,4,7,8,8,13,5,4,10,Recurrent
ADL,BDU,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ADL,HSN,0,0,0,0,0,0,2,0,0,0,0,Feed-forward
ADL,IL1L/R,0,0,0,0,0,0,0,0,2,0,0,Feed-forward
ADL,IL2L/R,0,0,0,0,0,0,0,0,1,0,0,Recurrent
ADL,OLL,0,2,0,1,0,0,0,0,1,0,0,Recurrent
ADL,OLQV,0,0,0,0,2,0,0,2,0,0,0,Recurrent
ADL,PVC,0,0,0,0,0,2,0,2,0,0,1,Feed-forward
ADL,PVP,0,0,0,0,0,1,1,0,0,0,0,Feed-forward
ADL,PVQ,1,0,0,0,1,0,2,0,0,0,0,Feed-forward
ADL,PVW,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ADL,RIP,0,0,0,0,0,0,0,0,0,0,2,Feed-forward
ADL,RIR,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ADL,SIAD,0,0,1,0,0,0,0,0,0,0,0,Feed-forward
ADL,SIBD,0,0,1,1,0,0,2,0,0,0,0,Feed-forward
ADL,SMBV,0,1,0,0,1,1,6,10,1,1,0,Feed-forward
ADL,URB,0,0,0,0,1,0,0,0,0,0,0,Recurrent
ADL,URYV,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AFD,ADF,1,0,0,0,1,0,0,0,1,0,1,Recurrent
AFD,AIA,0,0,0,0,0,0,0,0,0,1,2,Feed-forward
AFD,AIB,0,0,1,0,0,0,0,0,0,0,0,Feed-forward
AFD,AIN,0,0,0,0,0,0,0,1,0,0,1,Feed-forward
AFD,AIY,6,5,8,11,16,15,27,20,24,21,20,Feed-forward
AFD,AIZ,0,0,0,1,1,0,0,1,0,0,0,Feed-forward
AFD,ASE,0,0,1,0,1,1,2,1,2,2,6,Recurrent
AFD,AUA,0,0,0,0,1,0,0,0,1,0,2,Recurrent
AFD,AWA,0,0,0,1,0,1,0,0,1,0,4,Recurrent
AFD,AWB,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AFD,AWC,0,0,1,0,0,0,0,0,1,0,0,Recurrent
AFD,BAG,0,0,0,3,1,0,0,3,0,0,0,Recurrent
AFD,IL2L/R,0,0,0,0,0,0,0,0,0,0,1,Recurrent
AIA,ADA,0,1,4,0,1,5,4,5,6,11,7,Recurrent
AIA,ADF,0,1,0,0,1,0,0,0,0,0,0,Feed-back
AIA,ADL,0,0,0,1,0,1,2,7,2,3,4,Feed-back
AIA,AFD,0,0,0,0,0,0,0,0,0,0,2,Feed-back
AIA,AIA,0,0,0,0,0,0,0,0,1,0,0,Recurrent
AIA,AIB,5,10,14,17,21,21,25,35,22,22,21,Recurrent
AIA,AIM,0,0,0,0,0,0,0,0,1,1,2,Feed-back
AIA,AIN,0,0,0,0,0,1,0,0,0,0,2,Recurrent
AIA,AIY,0,0,0,0,1,0,0,0,1,1,0,Recurrent
AIA,AIZ,0,0,0,2,3,3,0,0,4,2,1,Recurrent
AIA,ASE,1,0,0,1,1,0,2,1,4,2,8,Feed-back
AIA,ASG,0,0,1,0,1,2,2,3,0,0,1,Feed-back
AIA,ASH,1,1,2,3,2,0,1,0,4,0,6,Feed-back
AIA,ASI,0,0,0,0,1,0,2,1,0,0,1,Feed-back
AIA,ASK,4,5,6,5,2,4,5,3,1,0,3,Feed-back
AIA,AVA,0,0,0,0,0,0,0,0,0,0,2,Recurrent
AIA,AVH,0,0,0,0,0,0,0,0,0,0,1,Feed-back
